date,dte,atm,expiry,entry_time,spot_move,level,sl,pnl,rupees,outcome,control_1230
2026-05-25,1,23950,2026-05-26,14:40,0.112,181.6,176.65,37.4,2805.0,EOD,0.0
2026-05-26,0,24000,2026-05-26,14:00,0.093,82.35,76.25,3.55,266.0,EOD,0.0
2026-05-27,6,23900,2026-06-02,14:35,0.036,303.65,302.15,-1.5,-112.0,SL,0.0
2026-05-29,4,23900,2026-06-02,12:55,0.212,271.05,268.1,53.45,4009.0,EOD,-3.0
2026-06-02,0,23250,2026-06-02,12:35,0.071,111.65,86.65,121.25,9094.0,EOD,124.3
2026-06-04,5,23300,2026-06-09,14:30,0.594,343.9,341.65,-2.25,-169.0,SL,-0.85
2026-06-05,4,23500,2026-06-09,12:45,0.215,305.15,296.85,-8.3,-622.0,SL,-3.15
2026-06-08,1,23100,2026-06-09,12:30,0.583,258.3,257.1,-1.2,-90.0,SL,-2.85
2026-06-12,4,23400,2026-06-16,12:45,0.274,268.6,264.5,-4.1,-308.0,SL,-0.25
2026-06-15,1,24000,2026-06-16,12:30,0.363,219.5,213.6,-5.9,-443.0,SL,0.0
2026-06-16,0,23900,2026-06-16,13:25,0.08,74.15,65.75,-8.4,-630.0,SL,0.0
2026-06-18,5,24050,2026-06-23,15:05,0.165,244.6,236.2,13.05,979.0,EOD,-3.15
2026-06-19,4,24000,2026-06-23,12:50,0.089,242.4,240.0,-2.4,-180.0,SL,-1.6
2026-06-23,0,24050,2026-06-23,12:45,0.514,122.75,115.0,-7.75,-581.0,SL,-7.55
2026-06-29,1,24050,2026-06-30,12:30,0.386,181.65,175.8,-5.85,-439.0,SL,-19.5
2026-06-30,0,24050,2026-06-30,14:00,0.408,133.55,121.9,-11.65,-874.0,SL,-8.0
2026-07-01,6,23900,2026-07-07,12:35,0.506,340.25,337.75,-2.5,-188.0,SL,-2.25
2026-07-02,5,24050,2026-07-07,13:10,0.273,253.15,250.7,-2.45,-184.0,SL,-1.85
2026-07-03,4,24400,2026-07-07,13:10,0.05,199.25,194.9,-4.35,-326.0,SL,0.0
2026-07-06,1,24300,2026-07-07,12:30,0.552,190.15,186.5,-3.65,-274.0,SL,-7.05
