Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-04-29 00:00:00,1450.0,1467.9,1450.0,1465.03,1464.15,1453.18,At/Below Slow EMA,72,,,1465.03,1441.5,1.61,prior swing low @ 2024-04-25 00:00:00,1530.96,2.8,SL HIT,2024-05-03 00:00:00,Not Hit,1483.08,-1.61,3d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-05-13 00:00:00,1112.4,1130.65,1106.7,1128.0,1115.12,1092.37,Between Slow & Fast EMA,87,,,1128.0,1106.7,1.89,touch is swing low,1178.76,2.38,SL HIT,2024-05-22 00:00:00,Not Hit,1144.0,-1.89,7d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-05-15 00:00:00,1122.1,1127.8,1113.5,1124.35,1116.41,1094.69,Between Slow & Fast EMA,89,,,1124.35,1106.7,1.57,prior swing low @ 2024-05-13 00:00:00,1174.95,2.87,SL HIT,2024-05-22 00:00:00,Not Hit,1144.0,-1.57,5d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-05-23 00:00:00,1115.55,1137.0,1111.4,1134.5,1120.64,1101.44,Between Slow & Fast EMA,95,,,1134.5,1098.1,3.21,prior swing low @ 2024-05-22 00:00:00,1185.55,1.4,SL HIT,2024-05-30 00:00:00,Not Hit,1147.8,-3.21,5d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-05-31 00:00:00,1118.0,1130.6,1111.25,1121.05,1120.34,1105.5,Between Slow & Fast EMA,101,,,1121.05,1096.9,2.15,prior swing low @ 2024-05-30 00:00:00,1171.5,2.09,TARGET HIT,Not Hit,2024-06-03 00:00:00,1173.0,4.5,1d
HDFCBANK,1d,EMA21/EMA50,2024-05-28 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,753.15,748.7,At/Below Slow EMA,6,,,775.9,727.0,6.3,prior swing low @ 2024-06-04 00:00:00,810.82,0.71,TARGET HIT,Not Hit,2024-06-19 00:00:00,834.95,4.5,9d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-06-07 00:00:00,1110.4,1128.3,1103.6,1121.7,1117.89,1107.07,At/Below Slow EMA,106,,,1121.7,1051.05,6.3,prior swing low @ 2024-06-05 00:00:00,1172.18,0.71,TARGET HIT,Not Hit,2024-06-24 00:00:00,1175.65,4.5,10d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-06-10 00:00:00,1116.0,1133.2,1115.1,1123.8,1118.42,1107.73,Between Slow & Fast EMA,107,,,1123.8,1051.05,6.47,prior swing low @ 2024-06-05 00:00:00,1174.37,0.7,TARGET HIT,Not Hit,2024-06-24 00:00:00,1175.65,4.5,9d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-06-18 00:00:00,1113.95,1135.05,1101.2,1122.85,1117.0,1108.99,At/Below Slow EMA,112,,,1122.85,1099.45,2.08,prior swing low @ 2024-06-14 00:00:00,1173.38,2.16,TARGET HIT,Not Hit,2024-06-24 00:00:00,1175.65,4.5,4d
RELIANCE,1d,EMA21/EMA50,2024-06-10 00:00:00,2024-06-20 00:00:00,1459.0,1482.85,1450.1,1473.7,1457.41,1451.02,At/Below Slow EMA,7,,,1473.7,1359.3,7.76,prior swing low @ 2024-06-04 00:00:00,1540.02,0.58,TARGET HIT,Not Hit,2024-06-28 00:00:00,1581.0,4.5,6d
