Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,2026-02-17 09:15:00,923.0,925.8,918.7,925.65,,,At/Below Slow EMA,1,922.98,922.68,925.65,918.7,0.75,touch is swing low,934.91,1.33,SL HIT,2026-02-19 11:15:00,Not Hit,929.0,-0.75,16h
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,2026-02-17 10:15:00,925.6,927.7,923.0,926.2,,,At/Below Slow EMA,2,923.57,923.01,926.2,918.7,0.81,prior swing low @ 2026-02-17 09:15:00,935.46,1.23,SL HIT,2026-02-19 11:15:00,Not Hit,929.0,-0.81,15h
HDFCBANK,1h,EMA10/EMA20,2026-02-16 15:15:00,2026-02-17 14:15:00,924.35,927.3,923.35,925.7,,,At/Below Slow EMA,6,924.32,923.63,925.7,923.2,0.27,prior swing low @ 2026-02-17 13:15:00,934.96,3.7,SL HIT,2026-02-18 09:15:00,Not Hit,926.65,-0.27,2h
RELIANCE,1h,EMA10/EMA20,2026-02-24 13:15:00,2026-02-24 14:15:00,1426.7,1430.7,1422.7,1429.3,,,At/Below Slow EMA,1,1424.33,1423.57,1429.3,1419.1,0.71,prior swing low @ 2026-02-24 13:15:00,1443.59,1.4,SL HIT,2026-02-25 12:15:00,Not Hit,1440.5,-0.71,5h
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,2026-02-26 10:15:00,1401.5,1407.0,1399.0,1405.5,,,Between Slow & Fast EMA,4,1399.65,1398.13,1405.5,1392.1,0.95,prior swing low @ 2026-02-26 09:15:00,1419.56,1.05,SL HIT,2026-02-27 10:15:00,Not Hit,1409.8,-0.95,7h
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,2026-02-26 11:15:00,1405.4,1409.0,1400.0,1406.1,,,Between Slow & Fast EMA,5,1400.83,1398.89,1406.1,1392.1,1.0,prior swing low @ 2026-02-26 09:15:00,1420.16,1.0,SL HIT,2026-02-27 10:15:00,Not Hit,1409.8,-1.0,6h
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,2026-02-26 13:15:00,1399.2,1404.5,1398.0,1403.5,,,At/Below Slow EMA,7,1401.06,1399.34,1403.5,1397.7,0.41,prior swing low @ 2026-02-26 12:15:00,1417.54,2.42,SL HIT,2026-02-27 09:15:00,Not Hit,1409.8,-0.41,3h
TCS,1h,EMA10/EMA20,2026-02-26 12:15:00,2026-02-26 13:15:00,2641.4,2647.0,2635.8,2646.4,,,At/Below Slow EMA,1,2640.07,2639.39,2646.4,2635.8,0.4,touch is swing low,2672.86,2.5,TARGET HIT,Not Hit,2026-02-27 09:15:00,2684.9,1.0,3h
TCS,1h,EMA10/EMA20,2026-02-26 12:15:00,2026-02-26 14:15:00,2646.3,2654.8,2641.0,2648.1,,,Between Slow & Fast EMA,2,2641.53,2640.22,2648.1,2635.8,0.46,prior swing low @ 2026-02-26 13:15:00,2674.58,2.15,TARGET HIT,Not Hit,2026-02-27 09:15:00,2684.9,1.0,2h
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,2026-03-05 12:15:00,1298.1,1302.0,1295.4,1300.7,,,At/Below Slow EMA,8,1299.67,1299.14,1300.7,1290.2,0.81,prior swing low @ 2026-03-05 11:15:00,1313.71,1.24,TARGET HIT,Not Hit,2026-03-06 09:15:00,1326.5,1.0,4h
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,2026-03-05 14:15:00,1297.7,1311.2,1297.0,1303.9,,,At/Below Slow EMA,10,1300.22,1299.51,1303.9,1290.2,1.05,prior swing low @ 2026-03-05 11:15:00,1316.94,0.95,TARGET HIT,Not Hit,2026-03-06 09:15:00,1326.5,1.0,2h
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,2026-03-06 09:15:00,1303.0,1326.5,1303.0,1319.0,,,Between Slow & Fast EMA,12,1304.39,1301.86,1319.0,1290.2,2.18,prior swing low @ 2026-03-05 11:15:00,1332.19,0.46,SL HIT,2026-03-09 09:15:00,Not Hit,1320.9,-2.18,7h
