SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.25,10.0,8.0,141,12,129,0,8.5,-0.293,-41.25,10.0,-1.25,-0.293,0.74,-67.5,-0.61
1.25,10.5,8.4,141,10,131,0,7.1,-0.417,-58.75,10.5,-1.25,-0.417,0.64,-74.75,-0.79
1.25,11.0,8.8,141,9,132,0,6.4,-0.468,-66.0,11.0,-1.25,-0.468,0.6,-83.0,-0.8
1.25,11.5,9.2,141,9,132,0,6.4,-0.436,-61.5,11.5,-1.25,-0.436,0.63,-79.5,-0.77
1.25,12.0,9.6,141,8,133,0,5.7,-0.498,-70.25,12.0,-1.25,-0.498,0.58,-89.25,-0.79
1.25,12.5,10.0,141,7,134,0,5.0,-0.567,-80.0,12.5,-1.25,-0.567,0.52,-100.0,-0.8
1.25,13.0,10.4,141,7,134,0,5.0,-0.543,-76.5,13.0,-1.25,-0.543,0.54,-97.5,-0.78
1.25,13.5,10.8,141,7,134,0,5.0,-0.518,-73.0,13.5,-1.25,-0.518,0.56,-95.0,-0.77
1.25,14.0,11.2,141,7,134,0,5.0,-0.493,-69.5,14.0,-1.25,-0.493,0.59,-92.5,-0.75
1.25,14.5,11.6,141,7,134,0,5.0,-0.468,-66.0,14.5,-1.25,-0.468,0.61,-90.5,-0.73
1.25,15.0,12.0,141,7,134,0,5.0,-0.443,-62.5,15.0,-1.25,-0.443,0.63,-90.0,-0.69
1.5,2.0,1.33,141,61,80,0,43.3,0.014,2.0,2.0,-1.5,0.014,1.02,-37.0,0.05
1.5,2.5,1.67,141,56,85,0,39.7,0.089,12.5,2.5,-1.5,0.089,1.1,-40.5,0.31
1.5,3.0,2.0,141,49,92,0,34.8,0.064,9.0,3.0,-1.5,0.064,1.07,-46.5,0.19
1.5,3.5,2.33,141,47,94,0,33.3,0.167,23.5,3.5,-1.5,0.167,1.17,-44.5,0.53
1.5,4.0,2.67,141,43,98,0,30.5,0.177,25.0,4.0,-1.5,0.177,1.17,-44.0,0.57
