Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA9 @ Cross,EMA9 @ Touch
INFY,1h,EMA9/EMA21,2026-01-01 10:15:00,1626.2,1622.75,,2026-01-02 10:15:00,1634.1,1640.0,1631.7,1639.0,1628.37,,Between Slow & Fast EMA,7,1623.16,1632.09
INFY,1h,EMA9/EMA21,2026-01-22 14:15:00,1663.3,1657.69,,2026-01-23 14:15:00,1663.2,1672.1,1662.3,1670.2,1662.6,,At/Below Slow EMA,7,1658.14,1665.87
INFY,1h,EMA9/EMA21,2026-01-22 14:15:00,1663.3,1657.69,,2026-01-27 11:15:00,1672.9,1683.5,1672.2,1681.1,1667.06,,Between Slow & Fast EMA,11,1658.14,1672.43
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-05 12:15:00,1298.1,1302.0,1295.4,1300.7,1299.18,,At/Below Slow EMA,8,1297.44,1299.74
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-05 14:15:00,1297.7,1311.2,1297.0,1303.9,1299.53,,At/Below Slow EMA,10,1297.44,1300.33
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-05 15:15:00,1304.0,1306.1,1301.2,1305.3,1300.05,,Between Slow & Fast EMA,11,1297.44,1301.32
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-06 09:15:00,1303.0,1326.5,1303.0,1319.0,1301.77,,Between Slow & Fast EMA,12,1297.44,1304.86
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-06 13:15:00,1307.9,1311.8,1305.4,1310.0,1304.88,,Between Slow & Fast EMA,16,1297.44,1308.61
INFY,1h,EMA9/EMA21,2026-03-04 11:15:00,1302.3,1297.25,,2026-03-06 15:15:00,1310.0,1312.4,1306.6,1311.0,1305.85,,Between Slow & Fast EMA,18,1297.44,1309.29
INFY,1h,EMA9/EMA21,2026-03-20 15:15:00,1259.1,1245.69,,2026-03-23 09:15:00,1238.2,1253.9,1227.9,1248.5,1245.95,,At/Below Slow EMA,1,1245.77,1246.31
