SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.25,7.5,6.0,128,6,119,3,4.8,-0.767,-98.22,5.61,-1.25,-0.767,0.34,-96.97,-1.01
1.25,8.0,6.4,128,6,119,3,4.8,-0.744,-95.22,5.95,-1.25,-0.744,0.36,-93.97,-1.01
1.25,8.5,6.8,128,5,120,3,4.0,-0.797,-101.97,6.0,-1.25,-0.797,0.32,-100.72,-1.01
1.25,9.0,7.2,128,5,120,3,4.0,-0.777,-99.47,6.32,-1.25,-0.777,0.34,-98.22,-1.01
1.25,9.5,7.6,128,5,120,3,4.0,-0.758,-96.97,6.63,-1.25,-0.758,0.35,-95.72,-1.01
1.25,10.0,8.0,128,3,122,3,2.4,-0.914,-116.97,5.92,-1.25,-0.914,0.23,-115.72,-1.01
1.25,10.5,8.4,128,2,123,3,1.6,-0.994,-127.22,5.31,-1.25,-0.994,0.17,-125.97,-1.01
1.25,11.0,8.8,128,2,123,3,1.6,-0.986,-126.22,5.51,-1.25,-0.986,0.18,-124.97,-1.01
1.25,11.5,9.2,128,2,123,3,1.6,-0.978,-125.22,5.71,-1.25,-0.978,0.19,-123.97,-1.01
1.25,12.0,9.6,128,2,123,3,1.6,-0.97,-124.22,5.91,-1.25,-0.97,0.19,-122.97,-1.01
1.25,12.5,10.0,128,2,123,3,1.6,-0.963,-123.22,6.11,-1.25,-0.963,0.2,-121.97,-1.01
1.25,13.0,10.4,128,2,123,3,1.6,-0.955,-122.22,6.31,-1.25,-0.955,0.21,-120.97,-1.01
1.25,13.5,10.8,128,2,123,3,1.6,-0.947,-121.22,6.51,-1.25,-0.947,0.21,-119.97,-1.01
1.25,14.0,11.2,128,0,123,5,0.0,-1.105,-141.49,2.45,-1.25,-1.105,0.08,-140.24,-1.01
1.25,14.5,11.6,128,0,123,5,0.0,-1.105,-141.49,2.45,-1.25,-1.105,0.08,-140.24,-1.01
1.25,15.0,12.0,128,0,123,5,0.0,-1.105,-141.49,2.45,-1.25,-1.105,0.08,-140.24,-1.01
1.5,2.0,1.33,128,33,94,1,26.0,-0.594,-75.99,2.0,-1.49,-0.594,0.46,-75.49,-1.01
1.5,2.5,1.67,128,23,104,1,18.1,-0.777,-99.49,2.5,-1.5,-0.777,0.37,-97.99,-1.02
1.5,3.0,2.0,128,21,106,1,16.5,-0.758,-96.99,3.0,-1.5,-0.758,0.39,-95.49,-1.02
1.5,3.5,2.33,128,19,108,1,15.0,-0.754,-96.49,3.5,-1.5,-0.754,0.41,-94.99,-1.02
