Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1h,EMA10/EMA20,6.0,11.5,1.92,128,2,97,2.0,-4.092,-523.79
1h,EMA10/EMA20,6.0,11.0,1.83,128,2,97,2.0,-4.1,-524.79
1h,EMA10/EMA20,6.0,10.5,1.75,128,2,97,2.0,-4.108,-525.79
1h,EMA21/EMA50,1.0,1.5,1.5,61,26,33,44.1,0.128,7.78
1h,EMA21/EMA50,1.0,2.0,2.0,61,17,43,28.3,-0.148,-9.0
1h,EMA21/EMA50,1.0,3.5,3.5,61,9,51,15.0,-0.32,-19.5
1h,EMA21/EMA50,1.0,4.0,4.0,61,8,52,13.3,-0.328,-20.0
1h,EMA21/EMA50,1.0,3.0,3.0,61,10,50,16.7,-0.328,-20.0
1h,EMA21/EMA50,1.0,6.0,6.0,61,5,54,8.5,-0.351,-21.44
1h,EMA21/EMA50,1.0,2.5,2.5,61,11,49,18.3,-0.352,-21.5
1h,EMA21/EMA50,1.0,5.5,5.5,61,5,54,8.5,-0.392,-23.94
1h,EMA21/EMA50,1.0,5.0,5.0,61,6,54,10.0,-0.393,-24.0
1h,EMA21/EMA50,1.0,4.5,4.5,61,6,54,10.0,-0.443,-27.0
1h,EMA21/EMA50,1.5,2.0,1.33,61,18,42,30.0,-0.443,-27.0
1h,EMA21/EMA50,1.0,8.0,8.0,61,3,56,5.1,-0.483,-29.44
1h,EMA21/EMA50,1.0,7.5,7.5,61,3,56,5.1,-0.507,-30.94
1h,EMA21/EMA50,1.0,7.0,7.0,61,3,56,5.1,-0.532,-32.44
1h,EMA21/EMA50,1.0,6.5,6.5,61,3,56,5.1,-0.556,-33.94
1h,EMA21/EMA50,1.5,3.5,2.33,61,10,50,16.7,-0.656,-40.0
1h,EMA21/EMA50,1.5,3.0,2.0,61,11,49,18.3,-0.664,-40.5
1h,EMA21/EMA50,1.5,4.0,2.67,61,9,51,15.0,-0.664,-40.5
1h,EMA21/EMA50,1.5,6.0,4.0,61,6,53,10.2,-0.671,-40.94
1h,EMA21/EMA50,1.5,4.5,3.0,61,8,52,13.3,-0.689,-42.0
1h,EMA21/EMA50,1.5,2.5,1.67,61,12,48,20.0,-0.689,-42.0
1h,EMA21/EMA50,1.5,5.5,3.67,61,6,53,10.2,-0.72,-43.94
1h,EMA21/EMA50,1.5,5.0,3.33,61,7,53,11.7,-0.73,-44.5
1h,EMA21/EMA50,1.0,8.5,8.5,61,1,58,1.7,-0.77,-46.94
1h,EMA21/EMA50,1.5,8.0,5.33,61,4,55,6.8,-0.786,-47.94
1h,EMA21/EMA50,1.5,7.5,5.0,61,4,55,6.8,-0.819,-49.94
1h,EMA21/EMA50,1.5,7.0,4.67,61,4,55,6.8,-0.851,-51.94
1h,EMA21/EMA50,1.5,6.5,4.33,61,4,55,6.8,-0.884,-53.94
1h,EMA21/EMA50,1.0,11.5,11.5,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,12.0,12.0,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,11.0,11.0,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,9.0,9.0,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,9.5,9.5,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,10.0,10.0,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,1.0,10.5,10.5,61,0,59,0.0,-0.925,-56.44
1h,EMA21/EMA50,2.0,3.5,1.75,61,10,50,16.7,-1.066,-65.0
1h,EMA21/EMA50,2.0,3.0,1.5,61,11,49,18.3,-1.066,-65.0
1h,EMA21/EMA50,2.0,4.0,2.0,61,9,51,15.0,-1.082,-66.0
1h,EMA21/EMA50,2.0,2.5,1.25,61,12,48,20.0,-1.082,-66.0
1h,EMA21/EMA50,2.0,6.0,3.0,61,6,53,10.2,-1.106,-67.44
1h,EMA21/EMA50,2.0,4.5,2.25,61,8,52,13.3,-1.115,-68.0
1h,EMA21/EMA50,2.0,5.5,2.75,61,6,53,10.2,-1.155,-70.44
1h,EMA21/EMA50,2.0,5.0,2.5,61,7,53,11.7,-1.164,-71.0
1h,EMA21/EMA50,1.5,8.5,5.67,61,1,57,1.7,-1.23,-75.01
1h,EMA21/EMA50,2.0,8.0,4.0,61,4,55,6.8,-1.237,-75.44
1h,EMA21/EMA50,2.0,7.5,3.75,61,4,55,6.8,-1.27,-77.44
1h,EMA21/EMA50,2.5,3.5,1.4,61,12,48,20.0,-1.279,-78.0
1h,EMA21/EMA50,2.5,3.0,1.2,61,13,47,21.7,-1.287,-78.5
1h,EMA21/EMA50,2.5,4.0,1.6,61,11,49,18.3,-1.287,-78.5
1h,EMA21/EMA50,2.0,7.0,3.5,61,4,55,6.8,-1.302,-79.44
1h,EMA21/EMA50,2.5,4.5,1.8,61,10,50,16.7,-1.311,-80.0
1h,EMA21/EMA50,2.0,6.5,3.25,61,4,55,6.8,-1.335,-81.44
1h,EMA21/EMA50,3.0,4.0,1.33,61,14,46,23.3,-1.344,-82.0
1h,EMA21/EMA50,2.5,5.0,2.0,61,9,51,15.0,-1.352,-82.5
1h,EMA21/EMA50,3.0,3.5,1.17,61,15,45,25.0,-1.352,-82.5
1h,EMA21/EMA50,3.0,4.5,1.5,61,13,47,21.7,-1.352,-82.5
1h,EMA21/EMA50,1.5,10.0,6.67,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,9.0,6.0,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,9.5,6.33,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,10.5,7.0,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,11.0,7.33,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,11.5,7.67,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,1.5,12.0,8.0,61,0,57,0.0,-1.375,-83.9
1h,EMA21/EMA50,3.0,5.0,1.67,61,12,48,20.0,-1.377,-84.0
1h,EMA21/EMA50,2.5,6.0,2.4,61,6,53,10.2,-1.54,-93.94
1h,EMA21/EMA50,2.5,5.5,2.2,61,6,53,10.2,-1.589,-96.94
1h,EMA21/EMA50,3.5,4.0,1.14,61,15,45,25.0,-1.598,-97.5
1h,EMA21/EMA50,3.0,6.0,2.0,61,8,51,13.6,-1.679,-102.44
1h,EMA21/EMA50,2.0,8.5,4.25,61,1,56,1.8,-1.679,-102.44
1h,EMA21/EMA50,2.5,8.0,3.2,61,4,55,6.8,-1.688,-102.94
1h,EMA21/EMA50,2.5,7.5,3.0,61,4,55,6.8,-1.72,-104.94
1h,EMA21/EMA50,3.5,4.5,1.29,61,13,47,21.7,-1.738,-106.0
1h,EMA21/EMA50,3.0,5.5,1.83,61,8,51,13.6,-1.745,-106.44
1h,EMA21/EMA50,2.5,7.0,2.8,61,4,55,6.8,-1.753,-106.94
1h,EMA21/EMA50,3.5,5.0,1.43,61,12,48,20.0,-1.77,-108.0
1h,EMA21/EMA50,2.5,6.5,2.6,61,4,55,6.8,-1.786,-108.94
1h,EMA21/EMA50,2.0,10.0,5.0,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,9.0,4.5,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,9.5,4.75,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,11.5,5.75,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,12.0,6.0,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,11.0,5.5,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,2.0,10.5,5.25,61,0,56,0.0,-1.825,-111.33
1h,EMA21/EMA50,4.0,4.5,1.12,61,15,45,25.0,-1.844,-112.5
1h,EMA21/EMA50,4.0,5.0,1.25,61,14,46,23.3,-1.869,-114.0
1h,EMA21/EMA50,3.0,7.0,2.33,61,6,53,10.2,-1.876,-114.44
1h,EMA21/EMA50,3.0,6.5,2.17,61,6,53,10.2,-1.925,-117.44
1h,EMA21/EMA50,3.0,7.5,2.5,61,5,54,8.5,-1.999,-121.94
1h,EMA21/EMA50,3.5,6.0,1.71,61,8,51,13.6,-2.097,-127.94
1h,EMA21/EMA50,2.5,8.5,3.4,61,1,56,1.8,-2.138,-130.44
1h,EMA21/EMA50,3.0,8.0,2.67,61,4,55,6.8,-2.138,-130.44
1h,EMA21/EMA50,3.5,5.5,1.57,61,8,51,13.6,-2.163,-131.94
1h,EMA21/EMA50,4.0,6.0,1.5,61,10,49,16.9,-2.188,-133.44
1h,EMA21/EMA50,4.5,5.0,1.11,61,14,46,23.3,-2.246,-137.0
1h,EMA21/EMA50,4.0,5.5,1.38,61,10,49,16.9,-2.27,-138.44
1h,EMA21/EMA50,2.5,11.5,4.6,61,0,56,0.0,-2.284,-139.33
