Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,1397.9,,,2026-03-19 09:15:00,1388.0,1408.0,1388.0,1406.5,,,At/Below Slow EMA,13,1390.65,1390.6,1405.7,1401.84
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,1413.8,,,2026-03-24 10:15:00,1413.3,1415.9,1406.7,1413.7,,,At/Below Slow EMA,1,1407.73,1407.22,1408.81,1407.84
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,1413.8,,,2026-03-24 12:15:00,1411.4,1420.1,1408.5,1416.3,,,At/Below Slow EMA,3,1407.73,1407.22,1410.57,1408.96
RELIANCE,1h,EMA10/EMA20,2026-03-24 09:15:00,1413.8,,,2026-03-24 15:15:00,1411.5,1414.6,1408.2,1414.0,,,At/Below Slow EMA,6,1407.73,1407.22,1411.53,1409.91
RELIANCE,1h,EMA10/EMA20,2026-04-08 12:15:00,1343.5,,,2026-04-09 10:15:00,1336.5,1339.0,1331.5,1336.9,,,At/Below Slow EMA,5,1326.42,1324.87,1336.26,1331.83
RELIANCE,1h,EMA10/EMA20,2026-04-08 12:15:00,1343.5,,,2026-04-10 09:15:00,1337.0,1350.9,1333.1,1347.2,,,At/Below Slow EMA,11,1326.42,1324.87,1336.04,1333.48
RELIANCE,1h,EMA10/EMA20,2026-04-08 12:15:00,1343.5,,,2026-04-10 14:15:00,1348.0,1352.3,1342.5,1349.9,,,Between Slow & Fast EMA,16,1326.42,1324.87,1343.95,1339.38
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-16 10:15:00,1334.1,1340.6,1333.5,1338.5,,,At/Below Slow EMA,5,1331.65,1331.61,1336.47,1334.71
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-16 13:15:00,1331.8,1337.5,1331.3,1336.8,,,At/Below Slow EMA,8,1331.65,1331.61,1335.78,1334.76
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-16 14:15:00,1337.0,1345.8,1336.5,1343.1,,,Between Slow & Fast EMA,9,1331.65,1331.61,1337.11,1335.55
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-17 09:15:00,1340.0,1351.8,1340.0,1349.7,,,Between Slow & Fast EMA,11,1331.65,1331.61,1340.71,1337.79
RELIANCE,1h,EMA10/EMA20,2026-04-15 12:15:00,1339.4,,,2026-04-21 10:15:00,1363.5,1369.8,1360.4,1367.0,,,Between Slow & Fast EMA,26,1331.65,1331.61,1364.0,1358.98
