Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,1.25,12.5,10.0,559,13,540,6,2.4,-0.902,-504.41,10.03,-1.25,-0.907,0.25,-528.16,-0.96
All touches,1.25,13.0,10.4,559,12,541,6,2.2,-0.916,-512.16,10.26,-1.25,-0.921,0.24,-537.41,-0.95
All touches,1.25,13.5,10.8,559,12,541,6,2.2,-0.905,-506.16,10.63,-1.25,-0.91,0.25,-532.91,-0.95
All touches,1.25,14.0,11.2,559,10,541,8,1.8,-0.933,-521.43,9.68,-1.25,-0.937,0.23,-549.68,-0.95
All touches,1.25,14.5,11.6,559,10,541,8,1.8,-0.924,-516.43,9.99,-1.25,-0.928,0.24,-546.18,-0.95
All touches,1.25,15.0,12.0,559,10,541,8,1.8,-0.915,-511.43,10.3,-1.25,-0.919,0.24,-542.68,-0.94
All touches,1.5,2.0,1.33,559,199,357,3,35.8,-0.248,-138.49,2.0,-1.5,-0.253,0.74,-165.99,-0.83
All touches,1.5,2.5,1.67,559,166,390,3,29.9,-0.306,-170.99,2.5,-1.5,-0.311,0.71,-194.49,-0.88
All touches,1.5,3.0,2.0,559,146,410,3,26.3,-0.318,-177.99,3.0,-1.5,-0.324,0.71,-199.5,-0.89
All touches,1.5,3.5,2.33,559,137,419,3,24.6,-0.268,-149.99,3.5,-1.5,-0.274,0.76,-203.5,-0.74
All touches,1.5,4.0,2.67,559,128,428,3,23.0,-0.234,-130.99,4.0,-1.5,-0.24,0.8,-190.0,-0.69
All touches,1.5,4.5,3.0,559,117,438,4,21.1,-0.232,-129.76,4.48,-1.5,-0.237,0.8,-214.5,-0.6
All touches,1.5,5.0,3.33,559,104,451,4,18.7,-0.279,-155.76,4.97,-1.5,-0.284,0.77,-234.5,-0.66
All touches,1.5,5.5,3.67,559,90,464,5,16.2,-0.354,-197.7,5.43,-1.5,-0.359,0.72,-240.7,-0.82
All touches,1.5,6.0,4.0,559,80,474,5,14.4,-0.407,-227.7,5.91,-1.5,-0.413,0.68,-271.2,-0.84
All touches,1.5,6.5,4.33,559,70,484,5,12.6,-0.479,-267.7,6.38,-1.5,-0.484,0.63,-306.7,-0.87
All touches,1.5,7.0,4.67,559,64,489,6,11.6,-0.502,-280.4,6.78,-1.5,-0.507,0.62,-318.9,-0.88
All touches,1.5,7.5,5.0,559,63,489,7,11.4,-0.454,-253.9,7.17,-1.5,-0.46,0.65,-307.9,-0.82
All touches,1.5,8.0,5.33,559,54,498,7,9.8,-0.551,-307.9,7.59,-1.5,-0.556,0.59,-367.9,-0.84
All touches,1.5,8.5,5.67,559,47,504,8,8.5,-0.626,-349.97,7.99,-1.5,-0.631,0.54,-424.97,-0.82
